"zipCode","email","MOB","WOB","FTE","FY19","FY20","applied","size","status"
665201,"6cK5zp25yM@inbox.com",1,1,75,317375.203960632,247614.907786573,0,1214,"rural"
665201,"YqJ0LaxGWm@mail.com",0,0,77,493244.561540461,511119.147900466,0,1214,"rural"
665201,"YodSzjt9lf@gmail.com",0,1,35,65414.3793512149,60241.430536804,0,1214,"rural"
665201,"QpBdrOkqK8@gmail.com",0,0,46,147730.919603739,122292.132894401,1,1214,"rural"
665201,"hppFfD0Ywh@gmail.com",1,0,65,242942.053799394,209709.910927531,0,1214,"rural"
665201,"BCg8kDWgpM@inbox.com",1,0,50,138759.867691053,111529.117318764,0,1214,"rural"
665201,"F2VzWBFPbq@mail.com",0,0,57,265572.571856603,202154.556651269,1,1214,"rural"
665201,"bH2Hpzilv6@gmail.com",0,1,47,135879.931548337,92687.0379732289,0,1214,"rural"
665201,"sqewcQQHRm@outlook.com",1,0,12,37024.6388046677,31453.8124428486,0,1214,"rural"
665201,"eiGtiwCPvu@gmail.com",1,0,86,500129.210935134,314931.699518363,0,1214,"rural"
665201,"nwKZQjagPt@gmail.com",0,0,37,75953.1823746344,101856.160655757,0,1214,"rural"
665201,"etY7E5DXp8@gmail.com",1,0,74,367930.598396891,281518.684790752,0,1214,"rural"
665201,"H7fdmwf8W8@gmail.com",0,0,50,159797.065937953,184388.090893143,0,1214,"rural"
665201,"puo1IgwkQR@gmail.com",0,1,43,109218.605492087,73848.6251658572,0,1214,"rural"
665201,"2JMOkfHjiX@gmail.com",0,0,59,230807.35085658,260707.297246062,0,1214,"rural"
665201,"iApf1LGqH6@gmail.com",1,0,22,44936.9324825183,37237.4282080492,0,1214,"rural"
665201,"5DjPB6fP3M@outlook.com",0,0,29,61708.5112897984,74875.3548628,0,1214,"rural"
665201,"UNBrl4OMIY@gmail.com",0,0,26,62738.4451965098,55259.0151354258,0,1214,"rural"
665201,"JwR3F7Y0QU@gmail.com",0,0,66,408237.079934194,305905.331487022,0,1214,"rural"
665201,"6lmIREs4BF@gmail.com",0,1,10,37814.487582626,29675.7608581886,0,1214,"rural"
665201,"tk6gKWZ8aO@outlook.com",0,0,48,148979.242864008,134374.880248907,0,1214,"rural"
665201,"q30dKeJE3r@gmail.com",0,0,48,162374.685606615,133895.400798102,0,1214,"rural"
665201,"H3RjoTPRro@gmail.com",0,0,8,43869.412594757,43828.7984036393,0,1214,"rural"
665201,"roYN3MnhPY@outlook.com",0,0,54,225011.225155575,164295.029274241,0,1214,"rural"
665201,"Gd4IWkFiql@outlook.com",0,1,108,1060977.72900874,842458.433878947,1,1214,"rural"
665201,"9X2yEp7rIi@inbox.com",0,0,93,808626.671012975,779032.24204995,1,1214,"rural"
665201,"novdrbde6j@gmail.com",0,0,80,582340.701674487,450282.818136847,1,1214,"rural"
665201,"IvhPCegxot@gmail.com",1,0,81,391644.169860977,492152.367113645,0,1214,"rural"
665201,"NCgz1acYPi@gmail.com",0,0,76,536935.707430558,421288.43513803,0,1214,"rural"
665201,"1EELxgqIt7@gmail.com",1,0,4,36892.5463440888,29091.0983128584,0,1214,"rural"
665201,"xopQ0tpc2g@gmail.com",0,1,40,91872.143586189,64351.5345506547,0,1214,"rural"
665201,"Cv0KSGzYWN@gmail.com",1,0,44,108196.926912227,82669.5640932266,0,1214,"rural"
665201,"E5osJTEXko@gmail.com",0,0,89,687382.174749524,820651.709311184,1,1214,"rural"
665201,"imL5jgXfE1@mail.com",1,0,59,221609.602596518,166251.320969303,1,1214,"rural"
665201,"BTq1GyT2Yp@gmail.com",0,1,97,879995.30283484,670054.030829415,0,1214,"rural"
665201,"HyoYEq2sF2@outlook.com",0,1,76,353031.433605384,311524.406036963,0,1214,"rural"
665201,"LxhmaVzMDa@gmail.com",0,0,67,356547.445427064,301810.869048223,0,1214,"rural"
